Month,Centername,Ber,Kinnow,Lime,Mandarin,Mosambi,Grape_t_seedless,Guava,Litchi,Bennet,Gulabkhas,Kesar,Mango_alphanso,Mango_chausa,Mango_dushehri,Mango_langra,Mango_safeda,Mango_totapari,Parkleman,Aonla,Apple_del_jk,Apple_royal_del_hp,Papaya,Pineapple,Pomegranate,Sapota,Banana
March,Delhi,2500,2500,4000,7500,4500,4750,5000,0,0,0,0,0,0,0,0,9000,0,0,4000,7500,10400,1300,4000,11000,2500,1700
March,Hyderabad,0,800,2300,1600,1900,1750,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,4850,1200,1200,3250,2000,1800
March,Jammu,0,3400,7300,9000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,2400,0,9000,0,2800
March,Kolkata,0,3850,5700,4350,0,5750,6100,0,0,0,0,0,0,0,0,0,0,0,4900,8750,11300,3100,1900,11500,4500,1700
March,Lucknow,0,0,4200,4100,4100,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8250,2100,2000,7100,0,1700
March,Mumbai,1350,3000,2800,4750,5000,5000,3250,0,0,0,0,2400,0,0,0,6500,4500,0,3000,0,0,1300,3250,12000,3000,2600
March,Nagpur,0,0,1675,5010,3600,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,5510,0,0,4000,8750,2200,525
March,Patna,0,4500,5000,7000,4850,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,2750,0,8500,0,2050
March,Pune,0,0,4400,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,1650,2250,6500,0,3000
March,Ranchi,3200,2400,2800,2700,3300,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,2200,2500,8000,3700,3300
March,Shimla,3600,2300,8100,5000,4100,3600,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,6900,0,3300
March,Srinagar,0,3500,7000,7000,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
March,Trivendrum,0,4500,7500,7000,6000,7500,4500,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,2400,3200,15000,2700,2500
March,Varanasi,0,3000,2500,5500,2500,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,2200,0,9000,0,2200
April,Bangaluru,0,0,14000,6500,6000,5000,4500,0,0,0,0,0,0,0,0,0,0,0,6000,15000,0,1750,3000,15000,4000,1000
